material_type,durability_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_score,cost_per_unit_usd
Kraft Paper,6,8,5,61,2.75,0.64
Recycled PET,5,18,9,82,4.86,0.48
Recycled Paper Wrap,6,18,9,85,3.35,1.12
PLA Bioplastic,8,8,7,85,2.39,0.94
Cornstarch Packaging,5,7,8,66,2.33,0.92
Molded Pulp,8,6,9,69,3.94,0.45
Seaweed Packaging,6,4,8,64,3.31,1.05
Mycelium Packaging,5,8,5,71,2.28,0.85
Kraft Paper,6,11,7,91,4.22,1.08
Corrugated Board,5,19,6,90,4.4,1.18
Bagasse Fiber,6,16,5,81,4.18,1.17
Honeycomb Paperboard,8,9,8,76,2.61,1.08
Mycelium Packaging,8,3,8,79,4.07,0.41
Recycled Cardboard,6,17,5,79,2.03,1.11
Honeycomb Paperboard,5,5,8,67,2.92,0.46
Corrugated Board,7,4,6,93,3.2,1.08
Seaweed Packaging,8,12,6,82,4.51,0.62
Bamboo Fiber Packaging,8,13,8,97,3.17,0.89
Honeycomb Paperboard,7,5,8,87,2.03,0.43
Bamboo Fiber Packaging,6,9,6,72,3.06,1.02
Molded Pulp,5,10,8,88,3.5,0.49
Seaweed Packaging,6,15,9,67,4.85,0.73
Recycled Paper Wrap,9,15,7,70,4.82,1.05
PLA Bioplastic,8,14,9,77,2.54,0.96
Recycled Cardboard,9,19,8,84,2.56,0.4
Biodegradable Plastic,8,14,8,81,2.49,0.72
Corrugated Board,8,15,7,94,4.37,0.43
Paper Foam,9,14,8,88,2.02,0.94
Biodegradable Plastic,9,16,7,80,2.38,1.18
Honeycomb Paperboard,6,9,6,66,3.61,0.92
Mycelium Packaging,9,15,7,71,2.74,0.58
Corrugated Board,6,8,7,95,2.28,0.68
PLA Bioplastic,6,6,9,83,3.08,1.18
Cornstarch Packaging,6,11,8,91,2.82,0.58
PLA Bioplastic,8,18,6,86,3.53,0.85
Paper Foam,8,6,5,91,4.94,0.72
Recycled Cardboard,9,8,7,91,2.37,1.01
PLA Bioplastic,8,10,5,91,3.12,1.09
Bagasse Fiber,9,18,8,85,4.8,0.67
Cornstarch Packaging,8,7,7,70,4.63,0.93
Biodegradable Plastic,5,12,5,77,3.18,0.84
Recycled Paper Wrap,5,15,9,98,4.1,0.62
Molded Pulp,9,16,5,64,2.26,0.62
Bagasse Fiber,8,9,9,75,4.14,0.83
Recycled PET,8,8,6,70,4.92,0.52
Cornstarch Packaging,6,9,8,94,3.61,1.05
Recycled Paper Wrap,7,7,5,70,3.5,0.46
Recycled Paper Wrap,9,14,7,82,2.56,0.48
Corrugated Board,7,8,8,93,3.9,0.67
Cornstarch Packaging,7,3,5,76,3.77,0.49
Recycled Cardboard,9,6,7,69,3.96,0.78
Honeycomb Paperboard,8,14,7,77,2.08,0.72
Paper Foam,9,17,7,67,3.65,0.98
Recycled PET,7,5,7,85,3.78,1.16
Paper Foam,8,10,5,62,2.62,1
Biodegradable Plastic,5,13,6,83,2.62,0.54
Biodegradable Plastic,9,18,9,62,2.83,1.15
Paper Foam,9,11,9,97,4.14,0.71
PLA Bioplastic,8,5,9,61,3.82,0.78
Recycled Cardboard,5,7,6,94,4.54,0.74
Bamboo Fiber Packaging,5,16,7,76,2.89,0.62
PLA Bioplastic,8,17,7,68,4.74,1.12
Mycelium Packaging,6,8,8,95,4.23,0.67
PLA Bioplastic,9,6,9,81,3.19,0.86
Molded Pulp,9,10,9,90,2.29,0.59
Kraft Paper,7,7,7,93,2.77,1.04
Honeycomb Paperboard,8,15,9,83,4.87,1.02
Molded Pulp,7,18,7,68,2.93,0.64
Corrugated Board,7,3,7,61,2.99,0.95
Kraft Paper,5,15,7,80,2.57,0.96
Kraft Paper,9,13,5,93,4.42,0.85
Cornstarch Packaging,7,10,5,86,2.83,0.88
Recycled Cardboard,5,10,5,96,2.99,0.86
Recycled Cardboard,8,16,5,66,3.24,0.47
Kraft Paper,7,15,6,81,3.3,0.94
Mycelium Packaging,9,5,8,63,3.23,0.78
PLA Bioplastic,7,6,8,73,3.51,0.75
Cornstarch Packaging,8,17,7,93,4.44,1.09
Honeycomb Paperboard,7,17,9,82,4.46,0.42
Kraft Paper,9,15,5,84,4.39,0.6
Bagasse Fiber,5,11,8,60,2.3,0.5
Biodegradable Plastic,9,12,8,74,4.4,0.43
Biodegradable Plastic,5,14,5,91,2.36,0.62
Molded Pulp,6,16,6,73,2.37,1.19
Corrugated Board,9,3,6,80,4.84,0.62
Seaweed Packaging,9,16,8,66,4.46,0.93
Seaweed Packaging,8,16,6,95,3.66,0.49
Biodegradable Plastic,7,10,5,80,4.62,0.88
Bamboo Fiber Packaging,5,18,8,99,4.97,1.19
Recycled Paper Wrap,5,16,5,71,3.83,0.63
Molded Pulp,8,3,6,74,3.84,1.08
Seaweed Packaging,8,18,5,74,4.26,1.2
Biodegradable Plastic,7,9,6,76,2.7,0.87
Corrugated Board,7,17,6,93,2.5,0.65
Seaweed Packaging,9,19,5,94,4.28,0.94
PLA Bioplastic,6,15,6,98,3.03,1.08
PLA Bioplastic,7,11,7,97,2.41,0.54
Recycled Cardboard,8,17,5,73,2.94,0.76
Mycelium Packaging,7,5,7,64,3.08,0.66
Recycled Cardboard,5,3,5,89,4.9,0.63
Honeycomb Paperboard,6,18,6,63,4.09,1.09
Kraft Paper,9,10,6,74,3.59,0.74
Bagasse Fiber,5,15,8,98,4.91,0.67
Recycled Cardboard,5,10,8,94,4.71,0.88
Recycled PET,6,19,7,69,3.54,0.58
Seaweed Packaging,9,16,6,61,4.72,0.58
Bamboo Fiber Packaging,8,9,8,83,3.21,0.82
Cornstarch Packaging,9,17,6,87,2.69,0.73
Biodegradable Plastic,7,18,5,81,2.7,0.64
Cornstarch Packaging,5,8,8,91,3.99,0.44
Recycled PET,7,3,7,90,3.5,0.82
Corrugated Board,8,14,8,78,3.98,1.05
Recycled Cardboard,7,18,6,80,4.06,1.08
Bagasse Fiber,9,14,9,62,2.07,0.59
Corrugated Board,7,15,9,65,2.16,0.88
Recycled Paper Wrap,8,10,6,91,3.6,1.08
Recycled Paper Wrap,8,3,5,61,2.57,0.73
Cornstarch Packaging,8,9,8,83,3.9,1.15
Kraft Paper,9,17,9,86,3.66,1.12
Molded Pulp,8,15,5,68,3.76,0.57
Kraft Paper,5,15,6,72,2.91,0.61
Seaweed Packaging,8,11,5,73,3.92,0.54
Recycled PET,7,17,6,70,4.49,0.56
PLA Bioplastic,7,6,8,73,4.99,1.13
Honeycomb Paperboard,7,15,5,75,4.52,1.14
Kraft Paper,9,14,8,69,3.67,0.44
Mycelium Packaging,7,7,5,79,2.58,0.87
Honeycomb Paperboard,9,9,6,75,4.04,0.85
Recycled PET,9,10,6,93,4.81,0.71
Honeycomb Paperboard,8,7,5,75,2.64,0.91
Bagasse Fiber,5,11,6,73,2.77,1.16
Recycled Cardboard,8,16,7,87,2.45,0.54
Bagasse Fiber,8,14,7,77,4.21,0.5
Honeycomb Paperboard,9,6,8,85,3.22,0.43
Corrugated Board,9,10,7,97,2.19,0.69
Recycled Paper Wrap,7,19,7,66,4.62,0.67
Honeycomb Paperboard,7,10,9,93,3.67,0.74
Bagasse Fiber,8,3,9,66,2.99,0.8
Bamboo Fiber Packaging,6,4,9,92,3.03,1.01
Recycled PET,6,6,9,94,2.87,0.71
Corrugated Board,7,3,6,98,3.37,0.66
Bagasse Fiber,6,9,8,80,3.01,1.06
Kraft Paper,7,3,8,87,3.64,1.08
Biodegradable Plastic,9,11,7,91,4.32,0.59
Cornstarch Packaging,8,5,8,75,4.02,0.65
Molded Pulp,5,14,7,69,2.88,1.06
PLA Bioplastic,8,17,8,82,3.59,0.46
Bagasse Fiber,7,18,5,74,4.52,0.66
Mycelium Packaging,7,12,5,65,2.2,0.76
Molded Pulp,8,8,8,92,2.23,0.55
Recycled PET,7,19,6,98,3.67,0.54
Bamboo Fiber Packaging,6,19,7,71,3.92,0.74
Paper Foam,6,13,8,95,2.63,1
Bagasse Fiber,7,9,7,90,4.24,1.07
Biodegradable Plastic,7,12,9,69,3.94,1.18
Molded Pulp,6,9,8,93,4.77,0.46
PLA Bioplastic,7,7,6,69,2.51,0.57
Honeycomb Paperboard,7,14,9,70,4.25,1.01
Bagasse Fiber,8,18,8,73,2.25,0.83
Recycled Cardboard,5,5,5,62,3.7,0.66
Bamboo Fiber Packaging,6,17,8,92,3.66,0.56
Recycled PET,8,7,5,66,3.17,0.62
Cornstarch Packaging,5,15,5,63,4.53,0.74
Biodegradable Plastic,7,14,8,98,2.01,0.54
Seaweed Packaging,7,7,8,69,3.56,1.17
Seaweed Packaging,8,8,5,74,2.65,0.49
Mycelium Packaging,7,9,7,75,4.23,1.19
Molded Pulp,9,12,9,97,2.13,1.07
Biodegradable Plastic,8,18,6,63,4.49,0.74
Corrugated Board,5,10,8,63,4.51,0.99
PLA Bioplastic,8,11,9,95,4.5,0.94
Cornstarch Packaging,6,6,9,86,2.46,0.57
Honeycomb Paperboard,8,10,7,81,3.89,0.67
Bagasse Fiber,7,9,9,81,2.04,0.81
Bagasse Fiber,7,17,8,76,4.54,0.91
Seaweed Packaging,9,5,9,93,4.17,0.83
Bagasse Fiber,9,19,8,91,3.59,0.78
Recycled PET,9,13,8,65,4.19,0.75
Cornstarch Packaging,5,11,5,92,2.28,0.8
Recycled Cardboard,9,7,7,67,3.59,0.75
Paper Foam,5,12,6,95,2.87,0.83
Mycelium Packaging,9,17,5,64,4.92,1.11
Recycled Paper Wrap,5,16,6,64,4.57,0.91
Kraft Paper,8,6,8,69,4.2,0.98
Mycelium Packaging,8,4,5,99,4.8,0.88
Molded Pulp,7,14,9,66,3.04,0.91
Recycled Cardboard,5,3,9,71,4.7,0.86
Mycelium Packaging,6,7,6,89,2.98,0.42
Honeycomb Paperboard,7,8,8,84,4.2,1.2
Seaweed Packaging,8,13,6,87,4.21,0.43
Bamboo Fiber Packaging,5,10,7,72,2.06,0.72
Molded Pulp,9,9,9,81,3.08,0.48
Bagasse Fiber,6,6,5,77,2.06,0.48
Biodegradable Plastic,8,8,5,86,4.99,1.03
Honeycomb Paperboard,7,18,5,67,2.37,0.74
Molded Pulp,5,17,9,65,3.63,1.04
Bamboo Fiber Packaging,6,16,8,70,4.37,0.62
PLA Bioplastic,5,14,9,88,2.6,0.61
Bagasse Fiber,9,14,9,64,3.46,0.6
Mycelium Packaging,7,18,5,66,3.82,0.89
Mycelium Packaging,5,17,9,81,2.48,1.05
Molded Pulp,8,15,5,63,4.34,0.76
Biodegradable Plastic,7,13,8,91,2.9,0.7
PLA Bioplastic,8,19,7,78,2.63,1.18
Bagasse Fiber,5,17,5,92,3.67,0.49
Bamboo Fiber Packaging,7,16,6,60,3.23,0.79
Paper Foam,8,12,7,67,4.76,0.73
Mycelium Packaging,9,14,8,91,4.64,0.48
Bamboo Fiber Packaging,9,18,7,89,3.45,0.61
Recycled Cardboard,5,17,5,87,3.08,0.42
Mycelium Packaging,7,12,8,91,2.98,1.1
Bamboo Fiber Packaging,6,6,6,84,2.8,0.89
Corrugated Board,7,11,5,93,3.63,1.05
Seaweed Packaging,9,11,5,92,4.41,0.82
Kraft Paper,8,13,8,72,2.93,0.88
Cornstarch Packaging,6,13,8,84,2.57,0.96
Seaweed Packaging,5,9,7,99,3.43,1.13
Recycled PET,6,12,6,98,2.21,0.47
Kraft Paper,5,6,7,69,4.1,0.66
Honeycomb Paperboard,6,7,7,90,3.56,0.97
Bamboo Fiber Packaging,5,7,5,70,3.49,1.17
Kraft Paper,5,13,8,84,2.9,1.18
Recycled PET,6,11,5,93,4.71,0.91
Bagasse Fiber,6,18,6,79,2.27,0.55
Paper Foam,5,11,7,66,4.61,0.5
Corrugated Board,9,6,6,92,3.13,1.16
Recycled Cardboard,6,4,8,94,4.64,0.75
Bamboo Fiber Packaging,7,16,8,88,4.19,0.56
Recycled Cardboard,8,5,9,71,2.31,1.15
Biodegradable Plastic,5,8,6,64,4.49,0.48
Mycelium Packaging,5,13,5,71,4.05,0.98
Bamboo Fiber Packaging,8,14,6,88,2.1,0.9
Cornstarch Packaging,9,7,7,94,2.4,0.47
Bamboo Fiber Packaging,8,11,8,79,3.91,0.67
Molded Pulp,6,5,8,96,3.99,0.52
Paper Foam,8,11,6,60,4.24,0.88
Molded Pulp,5,6,6,75,4.16,0.78
Bamboo Fiber Packaging,8,19,6,89,3.98,0.4
Corrugated Board,7,19,7,68,4.3,1.18
Kraft Paper,6,4,7,69,3.73,0.68
Recycled Cardboard,8,11,5,72,2.78,0.61
Corrugated Board,5,11,6,79,4.74,0.58
Bamboo Fiber Packaging,6,7,5,88,2.05,0.53
Recycled PET,5,17,9,63,3.1,1.2
Kraft Paper,9,17,7,87,4.19,0.64
Recycled PET,7,5,8,96,3.28,0.72
Recycled Cardboard,9,5,9,72,2.07,1.1
Kraft Paper,7,8,8,62,2.2,0.91
Cornstarch Packaging,8,6,9,96,3.95,0.69
Paper Foam,6,15,5,78,4.89,1.12
Seaweed Packaging,8,15,5,87,3.66,1
PLA Bioplastic,7,13,7,78,3.52,0.58
Honeycomb Paperboard,7,7,8,76,2.95,0.91
Corrugated Board,7,3,9,77,2.77,1.14
Mycelium Packaging,5,11,6,77,2.06,0.8
Corrugated Board,6,19,6,82,2.82,0.99
PLA Bioplastic,8,3,7,99,3.35,1.18
Seaweed Packaging,8,5,8,68,2.59,0.95
Recycled Paper Wrap,9,17,6,88,2.26,0.48
Bagasse Fiber,7,12,7,88,4.15,0.6
Cornstarch Packaging,7,10,7,61,4.68,0.88
Recycled PET,7,14,8,76,4.81,0.62
Bamboo Fiber Packaging,8,17,6,90,3.85,1.17
Cornstarch Packaging,9,11,6,87,2.16,0.72
PLA Bioplastic,5,12,6,98,4.22,0.77
Bamboo Fiber Packaging,6,11,5,89,2.33,0.96
Mycelium Packaging,5,17,6,94,4.01,0.82
Molded Pulp,8,3,9,79,4.34,0.71
Kraft Paper,7,4,5,75,4.18,0.46
Bagasse Fiber,6,16,5,93,4.86,0.88
Paper Foam,8,10,5,73,4.21,1.09
Paper Foam,8,8,5,85,4.08,0.95
PLA Bioplastic,8,14,7,79,2.79,0.71
Cornstarch Packaging,6,17,9,83,4.77,0.5
Paper Foam,6,16,8,77,2.54,1.05
Mycelium Packaging,9,3,6,68,4.71,1.15
Recycled PET,9,13,5,78,2.94,0.71
Recycled Paper Wrap,5,5,8,79,2.39,0.98
Corrugated Board,6,4,7,89,4.48,0.73
Biodegradable Plastic,6,9,8,85,2.01,0.8
Mycelium Packaging,6,10,5,90,4.5,1.07
Bamboo Fiber Packaging,9,17,9,94,2.79,0.47
Honeycomb Paperboard,8,12,8,62,4.65,0.82
PLA Bioplastic,7,3,5,99,4.07,0.57
Molded Pulp,9,8,5,88,4,0.67
Kraft Paper,6,15,6,65,3.1,0.92
Honeycomb Paperboard,9,16,6,60,2.18,0.42
Kraft Paper,5,5,9,83,4.49,0.88
Recycled Cardboard,6,13,6,97,2.51,0.63
Honeycomb Paperboard,5,5,9,93,3.12,0.94
Biodegradable Plastic,6,12,7,66,3.8,0.51
Cornstarch Packaging,9,17,7,70,3.45,0.99
Recycled Paper Wrap,8,13,6,70,2.6,0.92
Corrugated Board,7,17,7,95,2.42,1.18
Corrugated Board,5,15,8,79,2.37,1.13
Recycled Paper Wrap,9,7,8,75,4.59,0.63
Recycled PET,8,6,8,64,2.09,0.42
Bagasse Fiber,9,15,7,83,4.93,0.92
Recycled Cardboard,5,11,8,89,2.6,0.88
Kraft Paper,7,19,9,89,2.33,0.42
Biodegradable Plastic,9,4,5,98,3.73,0.5
Paper Foam,6,7,6,96,2.24,0.87
Honeycomb Paperboard,8,18,9,92,3.81,1.13
Recycled Cardboard,9,9,8,79,4.55,1.13
Mycelium Packaging,8,3,5,81,2.14,0.52
PLA Bioplastic,6,14,6,80,4.4,0.71
Honeycomb Paperboard,7,13,9,96,3.18,0.43
Biodegradable Plastic,7,14,6,86,2.48,0.78
Molded Pulp,6,14,7,97,2.53,1
Molded Pulp,8,14,8,94,4.76,1.03
Bamboo Fiber Packaging,9,16,9,97,2.33,0.8
Recycled Cardboard,6,4,9,99,4.6,0.48
Cornstarch Packaging,5,4,5,65,3.63,0.71
Biodegradable Plastic,8,6,5,91,2.12,1.15
Biodegradable Plastic,7,18,5,75,3.39,0.58
Recycled Paper Wrap,6,12,6,87,4.45,0.66
Mycelium Packaging,7,15,8,75,4.18,1
Cornstarch Packaging,8,4,6,86,3.47,0.99
Mycelium Packaging,7,5,8,62,4.58,1.13
Recycled PET,6,8,9,80,2.36,0.71
Kraft Paper,8,10,6,97,4.73,0.81
Kraft Paper,5,16,6,97,4.54,0.77
Paper Foam,6,12,6,89,4.12,1.14
Bamboo Fiber Packaging,9,5,7,81,4.45,1.02
Corrugated Board,6,8,8,78,3.63,1.07
Molded Pulp,8,17,8,90,4.03,0.51
PLA Bioplastic,6,16,6,79,3.68,1.03
Kraft Paper,5,12,7,78,3.07,0.75
Cornstarch Packaging,5,17,6,61,3.71,0.42
Biodegradable Plastic,9,6,8,99,2.77,0.45
PLA Bioplastic,7,4,9,98,3.32,0.94
Seaweed Packaging,8,5,7,86,2.84,0.7
Mycelium Packaging,8,9,7,67,2.37,1.09
Kraft Paper,7,18,6,86,2.97,0.99
Biodegradable Plastic,5,12,9,74,4.56,0.42
Kraft Paper,5,19,8,71,3.14,0.95
Molded Pulp,6,7,5,73,4.24,0.55
Seaweed Packaging,9,15,8,66,2.53,0.74
Honeycomb Paperboard,9,15,8,76,3.27,0.9
Kraft Paper,9,13,9,85,2.34,1.1
Recycled PET,6,13,7,96,2.42,0.76
Cornstarch Packaging,9,18,8,79,3.85,1.05
Kraft Paper,7,17,7,69,3.82,1.03
Corrugated Board,6,19,9,78,2.64,0.73
PLA Bioplastic,7,6,9,77,3.42,0.8
PLA Bioplastic,6,7,6,89,4.59,0.96
Molded Pulp,9,9,5,89,2.52,0.42
Cornstarch Packaging,7,4,9,84,2.06,1.11
Seaweed Packaging,7,3,9,83,3.96,1.02
Recycled PET,7,14,7,69,2.16,0.6
Recycled Paper Wrap,6,12,9,61,4.94,1.18
Cornstarch Packaging,8,10,8,97,3.83,0.54
PLA Bioplastic,9,3,6,91,3.41,1.13
Corrugated Board,7,14,6,94,3.29,0.66
Honeycomb Paperboard,8,4,8,96,3.72,1.01
Molded Pulp,9,12,9,66,2.27,0.77
Recycled Paper Wrap,9,19,5,66,4.79,0.99
Corrugated Board,7,5,9,86,3.88,0.52
Seaweed Packaging,7,9,6,69,2.55,0.62
Mycelium Packaging,6,14,5,92,3.69,0.48
Seaweed Packaging,8,10,7,66,2.4,1.09
Corrugated Board,8,14,7,65,2.05,0.64
Mycelium Packaging,7,5,9,65,3.89,0.96
Recycled Cardboard,9,19,9,72,3.95,1.06
Molded Pulp,7,11,5,72,3.75,1.12
Cornstarch Packaging,9,12,5,61,2.55,0.49
Mycelium Packaging,9,8,9,78,3.81,1.11
Bamboo Fiber Packaging,7,3,6,78,2.17,0.56
Mycelium Packaging,5,14,7,97,3.83,0.99
Biodegradable Plastic,8,7,5,61,3.66,0.98
Honeycomb Paperboard,9,15,6,85,3.97,0.41
Biodegradable Plastic,9,17,9,65,4.69,0.58
Cornstarch Packaging,5,13,8,79,4.55,0.79
Cornstarch Packaging,6,10,5,82,4.94,0.74
Molded Pulp,5,7,8,74,4.93,1.13
Cornstarch Packaging,5,4,6,65,4.32,0.69
PLA Bioplastic,9,14,7,87,4.87,1.15
Mycelium Packaging,8,4,6,94,4.6,0.77
Mycelium Packaging,5,18,7,70,4.18,1.17
Recycled Cardboard,6,5,6,67,2.23,0.99
Recycled Paper Wrap,7,12,5,83,2.15,1.06
Cornstarch Packaging,5,10,5,80,4.51,0.48
Biodegradable Plastic,5,9,8,95,3.47,0.87
Cornstarch Packaging,6,3,6,66,4.44,0.51
Seaweed Packaging,8,14,6,64,2.94,0.64
Recycled Cardboard,5,7,8,88,3.19,0.9
PLA Bioplastic,5,18,9,75,4.1,0.98
PLA Bioplastic,8,6,6,65,4.75,0.43
Kraft Paper,6,19,6,73,2.26,0.82
Mycelium Packaging,5,4,6,61,4.58,0.85
PLA Bioplastic,8,14,9,84,4.38,0.46
Mycelium Packaging,5,3,5,90,2.95,0.8
Kraft Paper,7,14,8,72,3.07,0.97
Corrugated Board,9,14,9,77,2.14,0.44
Honeycomb Paperboard,7,14,7,76,2.05,1.01
Paper Foam,5,19,7,87,3.43,0.86
Recycled PET,6,13,9,71,2.29,1.07
PLA Bioplastic,9,15,9,94,2.58,0.57
Recycled Paper Wrap,7,10,5,81,4.54,1.07
Seaweed Packaging,8,12,7,98,3.71,0.48
Bagasse Fiber,6,10,8,60,3.9,0.72
Corrugated Board,7,10,6,96,2.56,0.56
PLA Bioplastic,8,11,6,80,4.49,1.1
Mycelium Packaging,5,9,5,60,4.6,0.96
Honeycomb Paperboard,8,16,5,63,3.57,0.42
Kraft Paper,7,4,7,91,4.74,0.41
Biodegradable Plastic,7,13,8,60,4.53,0.63
Recycled PET,5,10,8,72,4.19,0.51
Bagasse Fiber,8,15,9,76,4.2,0.9
Honeycomb Paperboard,8,17,5,71,2.32,0.93
Honeycomb Paperboard,5,5,6,66,2.81,1.15
PLA Bioplastic,8,16,6,62,2.2,1.16
Corrugated Board,5,17,7,85,2.03,0.93
Bamboo Fiber Packaging,6,4,6,90,2.47,0.4
Bagasse Fiber,7,14,8,95,4.64,0.69
Recycled PET,6,6,8,85,2.72,0.81
Molded Pulp,9,5,5,62,4.91,0.8
Paper Foam,9,7,7,87,3.79,0.88
Molded Pulp,9,5,6,76,2.71,1.17
Bamboo Fiber Packaging,5,17,5,97,3.49,1.11
Mycelium Packaging,8,4,9,89,2.66,0.49
Mycelium Packaging,6,14,9,61,4.95,0.61
Seaweed Packaging,6,7,6,67,4.54,1.07
Bagasse Fiber,6,19,6,73,2.08,1.06
Molded Pulp,6,16,6,96,4.84,0.62
Mycelium Packaging,9,12,8,94,4.16,0.98
Bamboo Fiber Packaging,6,5,6,98,2.25,0.94
PLA Bioplastic,8,6,9,70,4.01,0.78
Recycled Cardboard,9,8,6,74,3.94,0.56
Kraft Paper,6,18,7,61,2.66,1.11
Recycled Cardboard,5,9,9,96,4.28,0.94
Cornstarch Packaging,7,17,7,91,2.26,0.54
Recycled PET,7,13,9,99,3.47,0.96
Molded Pulp,7,3,5,72,2.03,0.99
Seaweed Packaging,9,7,9,76,4.91,1.11
Cornstarch Packaging,6,15,9,74,4.25,0.58
Mycelium Packaging,9,16,7,92,2.48,1.19
Biodegradable Plastic,8,11,7,75,3.03,0.52
Recycled Paper Wrap,5,19,9,72,2.48,0.88
Biodegradable Plastic,5,17,9,81,4.3,0.93
Bamboo Fiber Packaging,7,9,8,82,2.18,0.74
Bagasse Fiber,7,14,5,95,4.52,0.78
Honeycomb Paperboard,7,8,5,69,4.83,1.11
Kraft Paper,6,18,6,76,4.03,0.92
Molded Pulp,8,7,9,89,2.64,0.8
Recycled PET,8,11,9,72,3.08,0.5
Seaweed Packaging,8,16,9,89,3.43,0.41
Seaweed Packaging,8,10,9,89,3.81,0.5
Recycled PET,7,16,5,66,4.01,1.16
Bamboo Fiber Packaging,5,14,7,69,3.66,1.01
Corrugated Board,7,12,8,94,3.05,1.17
Mycelium Packaging,8,15,7,61,4.67,0.43
Recycled Paper Wrap,7,17,7,89,2.24,0.94
Paper Foam,8,10,5,78,3.4,0.44
Paper Foam,9,12,8,98,4.33,1.03
Paper Foam,5,5,9,96,2.18,0.7
Molded Pulp,9,5,5,62,4.12,0.48
Paper Foam,6,7,5,84,4.46,0.85
PLA Bioplastic,7,18,8,93,3.98,0.62
Recycled Cardboard,6,19,6,81,2.04,0.93
Seaweed Packaging,7,8,5,97,2.54,0.93
Recycled Paper Wrap,9,18,7,73,3.03,0.96
Recycled Cardboard,8,4,7,98,2.7,1.19
Honeycomb Paperboard,8,17,9,61,4.89,0.71
Recycled Paper Wrap,7,3,5,91,3.95,0.77
Recycled Cardboard,8,14,9,62,2.89,1.04
Recycled Paper Wrap,9,10,5,67,4.79,0.86
Honeycomb Paperboard,8,8,8,85,4.22,0.43
Cornstarch Packaging,9,14,5,91,2.85,1.07
PLA Bioplastic,6,9,6,70,3.14,0.44
Molded Pulp,9,16,7,60,2.6,0.54
Molded Pulp,5,10,8,74,4.91,0.48
Bamboo Fiber Packaging,5,16,7,63,3.55,0.46
Recycled PET,5,7,9,63,4.69,0.42
Mycelium Packaging,7,11,8,87,3.04,0.44
Seaweed Packaging,7,10,6,69,4.58,0.75
Paper Foam,7,4,7,70,2.16,0.6
PLA Bioplastic,9,18,5,82,4.95,0.5
Biodegradable Plastic,7,15,5,62,4.74,0.93
Paper Foam,6,9,5,98,3.09,0.58
Mycelium Packaging,5,18,8,98,4.32,0.42
Seaweed Packaging,9,9,6,76,4.26,0.73
Bagasse Fiber,5,16,6,81,4.7,0.65
Mycelium Packaging,7,16,6,86,2.92,0.65
PLA Bioplastic,9,14,7,75,3.4,0.76
Recycled Cardboard,8,3,8,75,4.59,0.94
Recycled Paper Wrap,6,3,5,99,4.34,0.89
Recycled PET,7,14,7,62,3.18,1.15
Recycled PET,7,17,6,92,4.54,0.81
Biodegradable Plastic,6,6,5,61,2.14,0.78
PLA Bioplastic,6,9,8,98,4.35,0.57
Honeycomb Paperboard,8,18,9,86,2.62,1
Bagasse Fiber,7,5,6,74,2.86,0.51
Honeycomb Paperboard,7,9,6,66,3.48,0.79
Molded Pulp,5,8,6,68,3.35,0.74
Bamboo Fiber Packaging,9,18,6,65,3.56,0.93
Molded Pulp,9,10,5,71,3.63,1.13
Mycelium Packaging,5,8,8,89,2.99,1.16
Paper Foam,9,12,7,79,2.53,0.53
Recycled Cardboard,6,18,5,79,4.31,0.61
Biodegradable Plastic,9,13,8,86,3.2,1.05
Mycelium Packaging,9,15,7,79,3.52,0.81
Kraft Paper,5,8,6,66,3.93,0.76
Bagasse Fiber,8,3,8,99,4.73,0.97
Recycled PET,9,14,6,99,4.12,0.88
Bagasse Fiber,9,8,8,89,2.14,1.18
Mycelium Packaging,8,15,9,67,4.52,0.87
Mycelium Packaging,5,9,6,61,4.97,0.77
PLA Bioplastic,8,15,6,73,3.42,0.83
Paper Foam,5,10,6,69,4.91,1.05
Molded Pulp,6,19,5,77,3.64,0.89
Recycled PET,5,11,7,77,3.38,0.92
Bamboo Fiber Packaging,6,15,6,75,2.99,1.18
Paper Foam,6,4,6,64,3.97,0.89
Recycled Paper Wrap,5,6,5,90,2.69,0.7
PLA Bioplastic,7,4,5,96,2.31,0.95
PLA Bioplastic,5,6,9,79,2.08,0.93
Biodegradable Plastic,9,7,8,82,2.88,0.41
Recycled Cardboard,9,12,6,91,3.19,0.77
Bamboo Fiber Packaging,7,12,8,76,3.66,0.99
Seaweed Packaging,6,7,5,72,2.88,0.8
Cornstarch Packaging,7,19,5,72,4.95,1.02
Seaweed Packaging,9,15,9,76,2.88,0.76
Mycelium Packaging,7,19,7,74,3.32,1.19
Corrugated Board,5,11,5,85,2.31,0.63
Recycled PET,7,14,6,87,2.78,0.47
Corrugated Board,6,16,9,89,2.14,0.74
PLA Bioplastic,5,16,7,94,3.68,0.83
Paper Foam,8,10,9,81,4.25,0.68
Recycled Paper Wrap,9,7,5,69,2.59,0.59
Biodegradable Plastic,9,16,7,70,3.1,0.94
Kraft Paper,7,11,8,97,2.05,0.7
Corrugated Board,5,9,7,92,4.52,0.91
Biodegradable Plastic,8,10,6,65,4.34,1.02
PLA Bioplastic,5,16,8,96,2.19,1.01
Recycled Cardboard,9,16,8,66,3.09,0.7
Honeycomb Paperboard,5,13,6,71,4.87,0.85
Seaweed Packaging,8,16,8,66,3.18,0.76
Recycled Paper Wrap,7,10,5,61,3.58,1.1
